"Extension","Level","Install date","EP"
"Optimized engineering","5","2214-08-21 08:30:33","-600"
"Optimized shield usage","6","2214-08-21 08:29:57","-1440"
"Target analysis","8","2214-08-14 08:59:56","-7680"
"Improved armor repair","6","2214-07-20 13:02:03","-4320"
"Accelerated armor repair","7","2214-07-20 13:01:56","-1260"
"Accelerated reloading","5","2214-07-20 13:01:39","-300"
"Accelerated reloading","4","2214-07-20 13:01:37","-240"
"Accelerated reloading","3","2214-07-20 13:01:36","-180"
"Optimized weapon usage","8","2214-07-20 13:01:14","-5760"
"Optimized armor usage","6","2214-07-20 13:00:59","-720"
"Optimized weapon usage","7","2214-07-20 13:00:52","-3780"
"Advanced magnetostatics","8","2214-07-12 23:27:33","-7680"
"Advanced magnetostatics","7","2214-07-12 23:27:31","-5040"
"Advanced kinematics","8","2214-07-12 23:27:25","-5760"
"Nuimqol robot control","8","2214-07-12 23:26:15","-17280"
"Nuimqol robot control","7","2214-07-12 23:26:12","-11340"
"Spark teleportation","7","2214-06-29 19:09:55","-6300"
"Signal detection","4","2214-06-29 09:25:17","-1200"
"Improved falloff","6","2214-06-26 12:35:48","-2880"
"Target analysis","7","2214-06-26 12:34:59","-5040"
"Rapid-firing","8","2214-06-26 12:34:36","-5760"
"General firing","10","2214-06-26 12:34:31","-6000"
"General firing","9","2214-06-26 12:34:30","-2700"
"Critical hit","6","2214-06-26 12:34:27","-4320"
"Advanced optics","8","2214-06-26 12:34:21","-7680"
"Accumulator expansion","8","2214-06-26 12:34:07","-9600"
"Energy management","8","2214-06-26 12:33:47","-9600"
"Accelerated reloading","2","2214-06-26 12:33:36","-120"
"Optimized weapon usage","6","2214-05-23 14:26:09","-2160"
"Optimized engineering","4","2214-05-23 14:25:44","-480"
"Optimized engineering","3","2214-05-23 14:25:37","-360"
"Energy management","7","2214-05-23 14:25:20","-6300"
"Economical weapon usage","6","2214-05-11 14:37:59","-4320"
"Spark teleportation","6","2214-05-04 16:55:31","-3600"
"Basic magnetostatics","8","2214-04-25 22:21:17","-5760"
"Basic magnetostatics","7","2214-04-25 22:21:15","-3780"
"Advanced robotics","9","2214-04-24 16:44:27","-18900"
"Targeting","5","2214-04-24 16:44:05","-1500"
"Basic robotics","9","2214-04-23 16:46:17","-13500"
"Critical hit","5","2214-04-23 16:46:09","-1800"
"Critical hit","4","2214-04-23 16:46:07","-1440"
"Sharpshooting","7","2214-04-23 16:45:53","-3780"
"Rapid-firing","7","2214-04-23 16:45:51","-3780"
"Basic optics","8","2214-04-23 16:45:29","-5760"
"Basic optics","7","2214-04-23 16:45:27","-3780"
"Artifact scanning","1","2214-04-10 15:01:25","-180"
"Basic geochemistry","4","2214-04-10 15:01:22","-720"
"Basic geochemistry","3","2214-04-10 15:01:21","-540"
"Basic geochemistry","2","2214-04-10 15:01:19","-360"
"Basic geochemistry","1","2214-04-10 15:01:18","-180"
"Industrial robot control","4","2214-03-30 21:50:17","-2160"
"Industrial robot control","3","2214-03-30 21:50:15","-1620"
"Industrial robot control","2","2214-03-30 21:50:13","-1080"
"Pelistal robot control","7","2214-03-26 18:33:21","-11340"
"Spark teleportation","5","2213-09-28 14:22:49","-1500"
"NEXUS - Navigation","1","2213-09-26 15:09:06","-540"
"Spark teleportation","4","2213-09-23 12:53:28","-1200"
"Critical hit","3","2213-09-21 22:31:00","-1080"
"Critical hit","2","2213-09-21 22:30:57","-720"
"Basic optics","6","2213-09-21 22:30:47","-2160"
"Optimized engineering","2","2213-09-21 21:13:00","-240"
"Precision firing","8","2213-09-21 16:36:06","-5760"
"Advanced optics","7","2213-09-21 16:35:59","-5040"
"Precision firing","7","2213-09-14 12:35:37","-3780"
"Advanced optics","6","2213-09-07 22:06:32","-2880"
